# Items we deliberately have NO data for. They resolve to a named "no data" result, never to a
# substitute. The app names the item, says it has no nutrition data, and moves on.
#
# This file exists so the absence is a deliberate, reviewed decision rather than a gap nobody
# noticed. See docs/decisions/0002-usda-import-rules.md.
key,display_name,aliases_roman,reason
curry_leaves,"Curry leaves","curry leaves|kadi patta|karivepaku","Absent from USDA. Contribution to a meal's macros is immaterial, so no-data is honest and harmless."
asafoetida,"Asafoetida (hing)","hing|asafoetida|inguva","Absent from USDA. Used in fractions of a gram."
ajwain,"Ajwain","ajwain|carom seeds|vaamu","Absent from USDA."
amchur,"Amchur","amchur|dry mango powder","Absent from USDA."
ragi,"Ragi (finger millet)","ragi|finger millet|nachni|chodi","BLOCKING. USDA's generic Millet record tags NCBI taxon 4479, which is the whole grass family Poaceae, so the species is unidentified. Ragi carries roughly 300-350 mg calcium per 100 g against single digits for proso millet. Substituting would put a wrong number on a nutrient people track deliberately. Stays no-data until NIN responds or a licensed source appears."
bajra,"Bajra (pearl millet)","bajra|pearl millet|sajja|kambu","BLOCKING. Same unidentified-species problem as ragi."
jaggery,"Jaggery","jaggery|gur|bellam","BLOCKING. No USDA record. Brown sugar loses the mineral content that is the whole reason people distinguish jaggery from sugar, so it is not a substitute."
ivy_gourd,"Ivy gourd (dondakaya)","ivy gourd|dondakaya|tindora|kundru","No USDA record for Coccinia grandis. The gourds USDA does carry are different plants, and one gourd is not a stand-in for another."
snake_gourd,"Snake gourd (potlakaya)","snake gourd|potlakaya|chichinda","No USDA record for Trichosanthes cucumerina."
cluster_beans,"Cluster beans (goru chikkudu)","cluster beans|goru chikkudu|gawar|guar","No USDA record for Cyamopsis tetragonoloba. Snap beans are a different plant and are mapped separately under their own name."
methi_leaves,"Fenugreek leaves (menthi kura)","methi leaves|menthi kura|methi saag|kasuri methi","USDA carries fenugreek SEED only. The leaf and the seed are nutritionally very different, so the seed is not a substitute."
horse_gram,"Horse gram (ulavalu)","horse gram|ulavalu|kulthi|hurali","No USDA record for Macrotyloma uniflorum. Needed for ulavacharu; stays no-data until a licensed Indian source exists."
vermicelli,"Vermicelli (semiya)","vermicelli|semiya|seviyan","USDA carries only soy vermicelli and a flavoured mix, neither of which is wheat semiya."
